company,website,name,email,title,niche,mx_ok,mx,russia_focus
Jivo,https://www.jivo.ru,Отдел продаж,sales@jivo.ru,Sales,Чаты B2B,True,MX found,True
Kaspersky,https://www.kaspersky.ru/enterprise-security,Отдел продаж,sales@kaspersky.ru,Sales,Кибербезопасность,True,MX found,True
LPTracker,https://lptracker.ru,Отдел продаж,sales@lptracker.ru,Sales,CRM / лиды,True,MX found,True
Mango Office,https://www.mango-office.ru,Отдел продаж,sales@mango-office.ru,Sales,Телефония,True,MX found,True
Mindbox,https://mindbox.ru,Офис продаж,info@mindbox.ru,Sales,MarTech,True,MX found,True
Naumen,https://www.naumen.ru,Отдел продаж,info@naumen.ru,Sales,ITSM,True,MX found,True
Okdesk,https://okdesk.ru,Отдел продаж,sales@okdesk.ru,Sales,Helpdesk,True,MX found,True
OnlinePBX,https://www.onlinepbx.ru,Отдел продаж,sales@onlinepbx.ru,Sales,Облачная АТС,True,MX found,True
Positive Technologies,https://www.ptsecurity.com/ru-ru,Отдел продаж,sales@ptsecurity.com,Sales,Кибербезопасность,True,MX found,True
RetailCRM,https://www.retailcrm.ru,Отдел продаж,sales@retailcrm.ru,Sales,eCom CRM,True,MX found,True
SearchInform,https://searchinform.ru,Отдел продаж,info@searchinform.ru,Sales,Кибербезопасность,True,MX found,True
Selectel,https://selectel.ru,Отдел продаж,sales@selectel.ru,Sales,Облако,True,MX found,True
SimpleOne,https://simpleone.ru,Отдел продаж,info@simpleone.ru,Sales,ITSM,True,MX found,True
Softline,https://softline.ru,Отдел продаж,info@softline.ru,Sales,IT-дистрибуция,True,MX found,True
StaffLine,https://staffline.ru,Отдел продаж,info@staffline.ru,Sales,Рекрутинг,True,MX found,True
StartExam,https://startexam.ru,Отдел продаж,info@startexam.ru,Sales,Оценка персонала,True,MX found,True
Texterra,https://texterra.ru,Отдел продаж,info@texterra.ru,Sales,Digital-агентство,True,MX found,True
TrueConf,https://trueconf.ru,Отдел продаж,info@trueconf.ru,Sales,ВКС,True,MX found,True
UIS,https://www.uiscom.ru,Отдел продаж,sales@uiscom.ru,Sales,Телефония,True,MX found,True
Usedesk,https://usedesk.ru,Отдел продаж,sales@usedesk.ru,Sales,Helpdesk,True,MX found,True
amoCRM,https://www.amocrm.ru,Отдел продаж,support@amocrm.ru,Sales,CRM,True,MX found,True
iSpring,https://www.ispring.ru,Отдел продаж,sales@ispring.ru,Sales,EdTech B2B,True,MX found,True
Битрикс24,https://www.bitrix24.ru,Отдел продаж,sales@bitrix24.ru,Sales,CRM,True,MX found,True
Диасофт,https://diasoft.ru,Отдел продаж,info@diasoft.ru,Sales,ПО для финансов,True,MX found,True
Искролайн,https://iskroline.ru,Отдел продаж,sales@iskroline.ru,Sales,Аналитическое оборудование,True,MX found,True
КРОК,https://www.croc.ru,Отдел продаж,info@croc.ru,Sales,IT-интегратор,True,MX found,True
Кайтен,https://kaiten.ru,Отдел продаж,sales@kaiten.ru,Sales,SaaS / задачики,True,MX found,True
Клеверенс,https://www.cleverence.ru,Отдел продаж,sales@cleverence.ru,Sales,Mobile logistics,True,MX found,True
МТС Линк,https://mts-link.ru,Отдел продаж,sales@mts-link.ru,Sales,ВКС,True,MX found,True
Мегаплан,https://megaplan.ru,Отдел продаж,sales@megaplan.ru,Sales,CRM / задачики,True,MX found,True
Модульбанк,https://modulbank.ru,Отдел продаж,support@modulbank.ru,Sales,Банк для бизнеса,True,MX found,True
МойСклад,https://www.moysklad.ru,Отдел продаж,sales@moysklad.ru,Sales,Учёт,True,MX found,True
ПланФикс,https://planfix.ru,Отдел продаж,sales@planfix.ru,Sales,Управление работой,True,MX found,True
Простые звонки,https://prostiezvonki.ru,Отдел продаж,info@prostiezvonki.ru,Sales,Телефония+CRM,True,MX found,True
РИЦ Техносфера,https://technosphera.ru,Отдел продаж,sales@technosphera.ru,Sales,B2B поставки / техника,True,MX found,True
Рег.ру,https://www.reg.ru,Отдел продаж,sales@reg.ru,Sales,Домены / хостинг,True,MX found,True
СКБ Контур,https://kontur.ru,Клиентский сервис,info@kontur.ru,Sales,SaaS / ЭДО,True,MX found,True
